iter	Passed	Remaining
420	2263	3112
421	2267	3106
422	2272	3100
423	2278	3095
424	2283	3089
425	2288	3084
426	2299	3085
427	2306	3082
428	2312	3078
429	2318	3073
430	2323	3068
431	2329	3063
432	2334	3057
433	2340	3052
434	2346	3047
435	2351	3042
436	2361	3042
437	2366	3036
438	2372	3031
439	2378	3026
440	2383	3021
441	2388	3014
442	2393	3009
443	2398	3003
444	2403	2997
445	2409	2992
446	2414	2986
447	2420	2982
448	2426	2977
449	2431	2972
450	2436	2966
451	2442	2961
452	2447	2955
453	2452	2949
454	2458	2944
455	2462	2938
456	2466	2931
457	2472	2926
458	2478	2920
459	2484	2916
460	2490	2912
461	2495	2906
462	2500	2900
463	2505	2894
464	2510	2888
465	2515	2882
466	2520	2877
467	2525	2871
468	2530	2865
469	2535	2859
470	2540	2853
471	2546	2848
472	2553	2845
473	2559	2840
474	2564	2834
475	2570	2830
476	2576	2824
477	2581	2818
478	2588	2815
479	2595	2811
480	2600	2805
481	2605	2800
482	2610	2794
483	2615	2788
484	2621	2783
485	2626	2777
486	2630	2771
487	2636	2765
488	2640	2759
489	2645	2753
490	2655	2752
491	2660	2747
492	2665	2741
493	2670	2735
494	2675	2729
495	2680	2723
496	2685	2718
497	2690	2712
498	2695	2706
499	2700	2700
500	2705	2694
501	2710	2688
502	2718	2686
503	2724	2680
504	2728	2674
505	2733	2668
506	2738	2662
507	2742	2656
508	2748	2651
509	2753	2645
510	2758	2639
511	2763	2634
512	2768	2628
513	2774	2623
514	2780	2618
515	2786	2613
516	2791	2607
517	2796	2602
518	2801	2596
519	2805	2589
520	2810	2584
521	2815	2578
522	2822	2574
523	2828	2569
524	2833	2564
525	2838	2558
526	2843	2552
527	2848	2546
528	2852	2539
529	2857	2533
530	2862	2527
531	2866	2521
532	2871	2515
533	2875	2509
534	2880	2503
535	2886	2499
536	2893	2494
537	2897	2488
538	2902	2482
539	2907	2477
540	2912	2471
541	2917	2465
542	2921	2458
543	2926	2453
544	2931	2447
545	2935	2440
546	2941	2435
547	2946	2430
548	2950	2424
549	2955	2418
550	2960	2412
551	2965	2406
552	2970	2401
553	2977	2397
554	2984	2392
555	2988	2386
556	2993	2380
